,System,Entry Date,Exit Date,Trade,Lot Size,Entry,Exit,P&L,Cumm PL,Comments,HH/LL,% ITM
1,High-Low,2021-01-05,2021-01-15,Buy,50.0,14211.35,14443.43,232.08,232.08,SAR,14660.0,3.16
2,High-Low,2021-01-15,2021-01-20,Sell,50.0,14443.43,14619.12,-175.69,56.390000000000015,SAR,14250.0,1.34
3,High-Low,2021-01-20,2021-01-22,Buy,50.0,14619.12,14475.66,-143.46,-87.07,SAR,14765.45,1.0
4,High-Low,2021-01-22,2021-02-01,Sell,50.0,14475.66,14015.46,460.2,373.13,SAR,13666.6,5.59
5,High-Low,2021-02-01,2021-02-10,Buy,50.0,14015.46,14997.18,981.72,1354.85,SAR,15266.0,8.92
6,High-Low,2021-02-10,2021-02-15,Sell,50.0,14997.18,15270.28,-273.1,1081.75,SAR,15071.05,0.49
7,High-Low,2021-02-15,2021-02-17,Buy,50.0,15270.28,15205.71,-64.57,1017.1800000000001,SAR,15430.0,1.05
8,High-Low,2021-02-17,2021-02-24,Sell,50.0,15205.71,15036.61,169.1,1186.28,SAR,14639.75,3.72
9,High-Low,2021-02-24,2021-02-26,Buy,50.0,15036.61,14948.0,-88.61,1097.67,MSL,15180.9,0.96
10,High-Low,2021-02-26,2021-03-02,Sell,50.0,14681.39,14983.59,-302.2,795.47,SAR,14658.5,0.16
11,High-Low,2021-03-02,2021-03-05,Buy,50.0,14983.59,14958.37,-25.22,770.25,SAR,15318.0,2.23
12,High-Low,2021-03-05,2021-03-09,Sell,50.0,14958.37,15174.07,-215.7,554.55,SAR,14927.15,0.21
13,High-Low,2021-03-09,2021-03-15,Buy,50.0,15174.07,14927.89,-246.18,308.36999999999995,SAR,15375.0,1.32
14,High-Low,2021-03-15,2021-03-23,Sell,50.0,14927.89,14838.31,89.58,397.94999999999993,SAR,14371.3,3.73
15,High-Low,2021-03-23,2021-03-24,Buy,50.0,14838.31,14567.15,-271.16,126.7899999999999,SAR,14762.7,0.51
16,High-Low,2021-03-24,2021-03-30,Sell,50.0,14567.15,14708.02,-140.87,-14.080000000000098,SAR,14261.25,2.1
17,High-Low,2021-03-30,2021-04-05,Buy,50.0,14708.02,14687.58,-20.44,-34.520000000000095,SAR,14975.0,1.82
18,High-Low,2021-04-05,2021-04-07,Sell,50.0,14687.58,14933.37,-245.79,-280.31000000000006,SAR,14616.0,0.49
19,High-Low,2021-04-07,2021-04-12,Buy,50.0,14933.37,14689.7,-243.67,-523.98,SAR,15044.7,0.75
20,High-Low,2021-04-12,2021-04-16,Sell,50.0,14689.7,14648.38,41.32,-482.66,SAR,14304.1,2.62
21,High-Low,2021-04-16,2021-04-19,Buy,50.0,14648.38,14341.91,-306.47,-789.1300000000001,SAR,14408.85,1.64
22,High-Low,2021-04-19,2021-04-26,Sell,50.0,14341.91,14501.1,-159.19,-948.3200000000002,SAR,14155.0,1.3
23,High-Low,2021-04-26,2021-05-03,Buy,50.0,14501.1,14541.65,40.55,-907.7700000000002,SAR,15035.0,3.68
24,High-Low,2021-05-03,2021-05-07,Sell,50.0,14627.31,14835.0,-207.69,-1115.4600000000003,SAR,14510.75,0.8
25,High-Low,2021-05-07,2021-05-12,Buy,50.0,14821.27,14751.73,-69.54,-1185.0000000000002,SAR,15023.35,1.36
26,High-Low,2021-05-12,2021-05-17,Sell,50.0,14751.73,14875.49,-123.76,-1308.7600000000002,SAR,14620.0,0.89
27,High-Low,2021-05-17,2021-05-20,Buy,50.0,14875.49,15001.37,125.88,-1182.88,SAR,15175.0,2.01
28,High-Low,2021-05-20,2021-05-21,Sell,50.0,15001.37,15191.91,-190.54,-1373.42,SAR,14992.0,0.06
29,High-Low,2021-05-21,2021-06-09,Buy,50.0,15191.91,15665.77,473.86,-899.5600000000001,SAR,15814.65,4.1
30,High-Low,2021-06-09,2021-06-11,Sell,50.0,15665.77,15850.23,-184.46,-1084.02,SAR,15656.95,0.06
31,High-Low,2021-06-11,2021-06-17,Buy,50.0,15850.23,15671.05,-179.18,-1263.2,SAR,15909.0,0.37
32,High-Low,2021-06-17,2021-06-22,Sell,50.0,15730.68,15810.0,-79.32,-1342.52,SAR,15465.1,1.69
33,High-Low,2021-06-22,2021-06-29,Buy,50.0,15809.49,15766.65,-42.84,-1385.36,SAR,15930.0,0.76
34,High-Low,2021-06-29,2021-07-05,Sell,50.0,15766.65,15810.54,-43.89,-1429.25,SAR,15659.1,0.68
35,High-Low,2021-07-05,2021-07-07,Buy,50.0,15810.54,15810.54,0.0,-1429.25,BEP,15930.6,0.76
36,High-Low,2021-07-08,2021-07-14,Sell,50.0,15753.28,15878.2,-124.92,-1554.17,SAR,15641.05,0.71
37,High-Low,2021-07-14,2021-07-19,Buy,50.0,15878.2,15770.0,-108.2,-1662.3700000000001,SAR,15970.0,0.58
38,High-Low,2021-07-19,2021-07-23,Sell,50.0,15830.85,15864.41,-33.56,-1695.93,SAR,15586.0,1.55
39,High-Low,2021-07-23,2021-07-27,Buy,50.0,15864.41,15727.73,-136.68,-1832.6100000000001,SAR,15880.0,0.1
40,High-Low,2021-07-27,2021-07-30,Sell,50.0,15727.73,15847.98,-120.25,-1952.8600000000001,SAR,15510.0,1.38
41,High-Low,2021-07-30,2021-08-09,Buy,50.0,15847.98,16183.5,335.52,-1617.3400000000001,SAR,16350.0,3.17
42,High-Low,2021-08-09,2021-08-13,Sell,50.0,16183.5,16405.83,-222.33,-1839.67,SAR,16185.65,0.01
43,High-Low,2021-08-13,2021-08-20,Buy,50.0,16405.83,16400.0,-5.83,-1845.5,SAR,16688.95,1.73
44,High-Low,2021-08-20,2021-08-24,Sell,50.0,16446.61,16603.22,-156.61,-2002.1100000000001,SAR,16392.0,0.33
45,High-Low,2021-08-24,2021-09-20,Buy,50.0,16603.22,17460.25,857.03,-1145.0800000000002,SAR,17800.0,7.21
46,High-Low,2021-09-20,2021-09-23,Sell,50.0,17461.62,17661.35,-199.73,-1344.8100000000002,SAR,17335.5,0.72
47,High-Low,2021-09-23,2021-09-28,Buy,50.0,17658.09,17765.94,107.85,-1236.9600000000003,SAR,18088.3,2.44
48,High-Low,2021-09-28,2021-10-05,Sell,50.0,17765.94,17784.93,-18.99,-1255.9500000000003,SAR,17433.0,1.87
49,High-Low,2021-10-05,2021-10-20,Buy,50.0,17784.93,18353.71,568.78,-687.1700000000003,SAR,18594.0,4.55
50,High-Low,2021-10-20,2021-11-08,Sell,50.0,18353.71,18060.34,293.37,-393.8000000000003,SAR,17659.25,3.78
51,High-Low,2021-11-08,2021-11-11,Buy,50.0,18060.34,17884.87,-175.47,-569.2700000000003,SAR,18140.8,0.45
52,High-Low,2021-11-11,2021-11-12,Sell,50.0,17884.87,18126.69,-241.82,-811.0900000000004,SAR,17737.65,0.82
53,High-Low,2021-11-15,2021-11-17,Buy,50.0,18200.86,17934.0,-266.86,-1077.9500000000003,SAR,18159.95,0.22
54,High-Low,2021-11-17,2021-12-02,Sell,50.0,17937.95,17386.03,551.92,-526.0300000000003,SAR,16850.1,6.06
55,High-Low,2021-12-02,2021-12-06,Buy,50.0,17386.03,17131.37,-254.66,-780.6900000000003,SAR,17515.0,0.74
56,High-Low,2021-12-06,2021-12-08,Sell,50.0,17131.37,17347.9,-216.53,-997.2200000000003,SAR,17016.6,0.67
57,High-Low,2021-12-08,2021-12-14,Buy,50.0,17347.9,17340.0,-7.9,-1005.1200000000002,SAR,17688.0,1.96
58,High-Low,2021-12-14,2021-12-23,Sell,50.0,17365.09,17075.0,290.09,-715.0300000000002,SAR,16431.3,5.38
59,High-Low,2021-12-23,2021-12-27,Buy,50.0,17075.0,16881.93,-193.07,-908.1000000000001,SAR,17160.0,0.5
60,High-Low,2021-12-27,2021-12-28,Sell,50.0,16881.93,17198.61,-316.68,-1224.7800000000002,SAR,17160.5,1.65
61,High-Low,2021-12-28,2022-01-18,Buy,50.0,17198.61,18105.37,906.76,-318.0200000000002,SAR,18363.5,6.77
62,High-Low,2022-01-18,2022-01-28,Sell,50.0,18105.37,17347.95,757.42,439.39999999999975,SAR,16851.15,6.93
63,High-Low,2022-01-28,2022-02-07,Buy,50.0,17347.95,17435.68,87.73,527.1299999999998,SAR,17809.8,2.66
64,High-Low,2022-02-07,2022-02-10,Sell,50.0,17435.68,17529.35,-93.67,433.45999999999975,SAR,17048.2,2.22
65,High-Low,2022-02-10,2022-02-11,Buy,50.0,17529.35,17291.31,-238.04,195.41999999999976,SAR,17473.25,0.32
66,High-Low,2022-02-11,2022-02-15,Sell,50.0,17291.31,17291.31,0.0,195.41999999999976,BEP,16801.0,2.84
67,High-Low,2022-02-16,2022-02-21,Buy,50.0,17422.01,17178.61,-243.4,-47.980000000000246,SAR,17436.9,0.09
68,High-Low,2022-02-21,2022-02-28,Sell,50.0,17178.61,16801.67,376.94,328.95999999999975,SAR,16230.1,5.52
69,High-Low,2022-02-28,2022-03-04,Buy,50.0,16801.67,16305.1,-496.57,-167.61000000000024,MSL,16769.75,0.19
70,High-Low,2022-03-04,2022-03-09,Sell,50.0,16408.1,16069.07,339.03,171.41999999999973,SAR,15676.35,4.46
71,High-Low,2022-03-09,2022-03-22,Buy,50.0,16069.07,17092.11,1023.04,1194.4599999999996,SAR,17392.1,8.23
72,High-Low,2022-03-22,2022-03-23,Sell,50.0,17092.11,17447.0,-354.89,839.5699999999996,SAR,17220.05,0.75
73,High-Low,2022-03-23,2022-03-28,Buy,50.0,17431.23,17057.93,-373.3,466.2699999999996,SAR,17339.0,0.53
74,High-Low,2022-03-28,2022-03-29,Sell,50.0,17057.93,17350.0,-292.07,174.1999999999996,SAR,17269.4,1.24
75,High-Low,2022-03-29,2022-04-07,Buy,50.0,17334.92,17768.0,433.08,607.2799999999995,SAR,18173.8,4.84
76,High-Low,2022-04-07,2022-04-21,Sell,50.0,17796.87,17352.96,443.91,1051.1899999999996,SAR,16843.3,5.36
77,High-Low,2022-04-21,2022-04-25,Buy,50.0,17352.96,17005.0,-347.96,703.2299999999996,SAR,17321.0,0.18
78,High-Low,2022-04-25,2022-04-28,Sell,50.0,17005.0,17267.56,-262.56,440.66999999999956,SAR,16957.85,0.28
79,High-Low,2022-04-28,2022-05-02,Buy,50.0,17267.56,16925.0,-342.56,98.10999999999956,SAR,17399.0,0.76
80,High-Low,2022-05-02,2022-05-04,Sell,50.0,17034.24,17115.1,-80.86,17.24999999999956,MSL,16643.2,2.3
81,High-Low,2022-05-06,2022-05-17,Sell,50.0,16451.25,16127.2,324.05,341.29999999999956,SAR,15733.0,4.37
82,High-Low,2022-05-17,2022-05-19,Buy,50.0,16127.2,15849.31,-277.89,63.40999999999957,SAR,16363.35,1.46
83,High-Low,2022-05-19,2022-05-20,Sell,50.0,15849.31,16205.92,-356.61,-293.20000000000044,MSL,15968.5,0.75
84,High-Low,2022-05-23,2022-05-25,Buy,50.0,16311.62,15997.97,-313.65,-606.8500000000004,SAR,16236.0,0.46
85,High-Low,2022-05-25,2022-05-27,Sell,50.0,15997.97,16300.05,-302.08,-908.9300000000003,SAR,15885.1,0.71
86,High-Low,2022-05-27,2022-06-07,Buy,50.0,16257.85,16422.97,165.12,-743.8100000000003,SAR,16790.0,3.27
87,High-Low,2022-06-07,2022-06-21,Sell,50.0,16422.97,15462.36,960.61,216.79999999999973,SAR,15202.3,7.43
88,High-Low,2022-06-21,2022-07-01,Buy,50.0,15462.36,15642.72,180.36,397.15999999999974,SAR,15930.4,3.03
89,High-Low,2022-07-01,2022-07-05,Sell,50.0,15642.72,15889.12,-246.4,150.75999999999974,SAR,15651.9,0.06
90,High-Low,2022-07-05,2022-07-12,Buy,50.0,15889.12,16070.21,181.09,331.84999999999974,SAR,16253.2,2.29
91,High-Low,2022-07-12,2022-07-18,Sell,50.0,16070.21,16199.0,-128.79,203.05999999999975,SAR,15860.0,1.31
92,High-Low,2022-07-18,2022-07-26,Buy,50.0,16199.0,16524.24,325.24,528.2999999999997,SAR,16757.5,3.45
93,High-Low,2022-07-26,2022-07-28,Sell,50.0,16524.24,16769.2,-244.96,283.3399999999997,SAR,16438.0,0.52
94,High-Low,2022-07-28,2022-08-04,Buy,50.0,16769.2,17202.31,433.11,716.4499999999997,SAR,17505.3,4.39
95,High-Low,2022-08-08,2022-08-23,Buy,50.0,17553.76,17401.1,-152.66,563.7899999999997,SAR,18086.8,3.04
96,High-Low,2022-08-23,2022-08-25,Sell,50.0,17401.1,17684.4,-283.3,280.4899999999997,SAR,17495.0,0.54
